step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
285.0,54,9861.0,142.91304347826087,2.7751708754866518,19,2422.0,0.09079922242757328,16,3167.0,0.2491613461764327,19,4664.0,0.0,0,0.0,0.6956045345814479,54,10253.0
290.0,54,10131.0,140.70833333333334,3.1850354386283177,19,2517.0,0.09319093079856766,16,3247.0,0.24480432598161705,19,4759.0,0.09218056702149764,0,0.0,0.9240431047225243,54,10523.0
295.0,54,10401.0,140.55405405405406,3.4569132273466967,19,2612.0,0.09377168370680662,16,3327.0,0.24533295766436486,19,4854.0,0.133056685924155,0,0.0,0.9387071828517384,54,10793.0
300.0,54,10671.0,146.17808219178082,3.3882382038397174,19,2707.0,0.04856956684755146,16,3407.0,0.18625674986120092,19,4949.0,0.09067019119175235,0,0.0,0.9062525804982764,54,11063.0
305.0,51,10521.0,138.43421052631578,3.6893118602919506,16,2584.0,0.10858943785224709,16,3487.0,0.21163636098035532,19,5044.0,0.046359317833301154,0,0.0,0.8254216448333569,51,11115.0
310.0,48,10087.0,134.49333333333334,3.516312371589952,12,2446.0,0.23069385296479616,17,3571.0,0.12435925377467558,19,5139.0,0.04604446164235836,0,0.0,0.8669150412139697,48,11156.0
315.0,47,9787.0,134.06849315068493,3.0655388654464972,10,2493.0,0.21904614250354926,18,3661.0,0.03952892815004953,19,5234.0,0.0,0,0.0,0.9232982813423749,47,11388.0
320.0,45,9360.0,128.21917808219177,3.0676542764639576,8,2537.0,0.15202171114003796,18,3751.0,0.04755205070146544,19,5331.0,0.09015304148139669,0,0.0,0.8265159769577382,45,11619.0
325.0,47,9330.0,129.58333333333334,2.7876001276363116,10,2582.0,0.10292594783588192,18,3841.0,0.09305070683375742,19,5426.0,0.16149546991142252,0,0.0,0.8584127778570956,47,11849.0
330.0,53,9584.0,131.2876712328767,2.513912634346567,16,2651.0,0.07652266667185771,18,3931.0,0.0977801789743864,19,5519.0,0.0773455636655744,0,0.0,1.0,53,12101.0
335.0,54,9836.0,129.42105263157896,2.6079704620258197,17,2731.0,0.11882826405279785,18,4021.0,0.17499045570630292,19,5614.0,0.0,0,0.0,0.9928699603950242,54,12366.0
340.0,56,10108.0,136.59459459459458,2.8335559040455265,19,2808.0,0.13969703948651954,18,4111.0,0.09289216896412901,19,5711.0,0.0924496492452059,0,0.0,0.9424478102936638,56,12630.0
345.0,57,10391.0,148.44285714285715,1.7929016823707307,20,2906.0,0.02857719553150899,18,4201.0,0.04572419107734904,19,5806.0,0.13254925761911418,0,0.0,0.944157409528299,57,12913.0
350.0,60,10684.0,152.62857142857143,1.6342039118913103,23,3014.0,0.03798718798155653,18,4291.0,0.0,19,5899.0,0.04908015389111399,0,0.0,0.8769752805276818,60,13204.0
355.0,58,10959.0,152.20833333333334,2.0761138653413287,21,3115.0,0.11056860457594854,18,4381.0,0.049215798579130235,19,5994.0,0.0,0,0.0,0.8575410270514957,58,13490.0
360.0,56,11228.0,155.94444444444446,2.3502504526001453,19,3191.0,0.07964258456712135,18,4471.0,0.0899531467876045,19,6091.0,0.11999905894279882,0,0.0,1.0,56,13753.0
365.0,57,11510.0,166.81159420289856,1.7703527076861778,20,3288.0,0.07115361606382996,18,4561.0,0.052303814873277725,19,6186.0,0.1610133046923149,0,0.0,0.9862494587853463,57,14035.0
370.0,60,11804.0,168.62857142857143,1.7119247162267401,23,3397.0,0.06707462119219904,18,4651.0,0.04903093662709359,19,6279.0,0.08636031892396756,0,0.0,0.9826497400765883,60,14327.0
375.0,61,12106.0,170.50704225352112,1.796416297522543,24,3514.0,0.07410879238232485,18,4741.0,0.09194807194170887,19,6374.0,0.0,0,0.0,0.9695228351998681,61,14629.0
380.0,62,12412.0,170.02739726027397,1.7556026739802897,25,3635.0,0.10907379679635366,18,4831.0,0.03950000784993193,19,6469.0,0.0,0,0.0,0.9630723836738497,62,14935.0
385.0,62,12722.0,179.18309859154928,1.0951097963529823,25,3760.0,0.04378675810695971,18,4921.0,0.0,19,6564.0,0.0,0,0.0,0.849799413784021,62,15245.0
390.0,65,13043.0,186.32857142857142,0.6926761286381528,28,3896.0,0.03310197392423999,18,5011.0,0.0,19,6659.0,0.0,0,0.0,0.8017330079731089,65,15566.0
395.0,63,13284.0,184.5,1.0307400444320647,26,4000.0,0.04474799715783313,18,5101.0,0.05044184338659673,19,6754.0,0.0,0,0.0,1.0,63,15855.0
400.0,59,13495.0,184.86301369863014,1.6375586890050609,22,4066.0,0.07034203875099483,18,5191.0,0.0960096162886961,19,6851.0,0.11982942574482629,0,0.0,1.0,59,16108.0
405.0,57,13750.0,188.35616438356163,1.8150096945237428,20,4144.0,0.05617417045509499,18,5281.0,0.09985657237375549,19,6944.0,0.12224698709814573,0,0.0,0.934229208770327,57,16369.0
410.0,59,14039.0,187.18666666666667,1.9662791892281972,22,4250.0,0.09498156136881528,18,5371.0,0.12664030384670383,19,7039.0,0.04181331014781241,0,0.0,0.9162482442379594,59,16660.0
415.0,59,14319.0,185.96103896103895,1.940215310107741,22,4335.0,0.08299649305509543,18,5461.0,0.04598754777383982,19,7134.0,0.0,0,0.0,0.9740615968147012,59,16930.0
420.0,57,14590.0,191.97368421052633,1.9085833977551523,20,4396.0,0.04556882095170176,18,5551.0,0.0,19,7231.0,0.08995947840329849,0,0.0,0.9274104778307787,57,17178.0
425.0,58,14871.0,200.95945945945945,1.5508914941107683,21,4496.0,0.05947982367039757,18,5641.0,0.04891785479528882,19,7326.0,0.12699265019930414,0,0.0,0.8903359383580611,58,17463.0
430.0,60,15165.0,196.94805194805195,1.731315862461774,23,4605.0,0.06519926509484567,18,5731.0,0.09771283707979168,19,7419.0,0.04341225812873604,0,0.0,1.0,60,17755.0
435.0,63,15474.0,200.96103896103895,1.4842122383413199,26,4729.0,0.02733428658093202,18,5821.0,0.09475192239371855,19,7514.0,0.0,0,0.0,0.9468402645164921,63,18064.0
440.0,66,15799.0,205.1818181818182,1.3487638844197425,29,4869.0,0.03157964314190014,18,5911.0,0.13349797040422898,19,7609.0,0.0,0,0.0,0.9739091419152603,66,18389.0
445.0,66,16078.0,206.12820512820514,1.4849131313450505,29,4981.0,0.040299676386237146,18,6001.0,0.12016657358192767,19,7704.0,0.0,0,0.0,0.9514581812201802,66,18686.0
450.0,62,16322.0,209.25641025641025,1.8644220081870226,25,5047.0,0.03556992786795728,18,6091.0,0.1341052273797412,19,7801.0,0.08992170303008973,0,0.0,0.91986420841808,62,18939.0
455.0,60,16576.0,209.8227848101266,1.9013600489850873,23,5168.0,0.08694874348842538,18,6181.0,0.09846370389687834,19,7894.0,0.076985418177775,0,0.0,0.8494787524705681,60,19243.0
460.0,60,16844.0,205.41463414634146,1.8214494117936832,23,5280.0,0.03963046137578093,18,6271.0,0.09624160422643036,19,7989.0,0.07922115156458176,0,0.0,0.9580423131168758,60,19540.0
465.0,61,17125.0,214.0625,1.5999315318007747,24,5364.0,0.04687970896731986,18,6361.0,0.050553485889445776,19,8084.0,0.0,0,0.0,0.9590979414173749,61,19809.0
470.0,59,17395.0,209.57831325301206,2.112390436223678,22,5420.0,0.055073629064693194,18,6451.0,0.09663143965013055,19,8181.0,0.11247060666484753,0,0.0,0.9381242511468733,59,20052.0
475.0,58,17673.0,212.9277108433735,2.222564964058855,21,5506.0,0.05688530458272183,18,6541.0,0.15454842035708072,19,8276.0,0.15798125723851597,0,0.0,0.9876510151526573,58,20323.0
480.0,60,17960.0,216.3855421686747,2.096619513779992,23,5615.0,0.053209947070890974,18,6631.0,0.16698737888020423,19,8369.0,0.08079644419279382,0,0.0,0.929970628001394,60,20615.0
485.0,60,18241.0,219.7710843373494,2.156330256079579,23,5703.0,0.058845355469589355,18,6721.0,0.13595945559726422,19,8464.0,0.0,0,0.0,0.9007110458299882,60,20888.0
490.0,58,18514.0,220.4047619047619,2.501197013209164,21,5740.0,0.06277123705271366,18,6811.0,0.09498831748998653,19,8561.0,0.12663951024506234,0,0.0,0.9004664077402489,58,21112.0
495.0,57,18789.0,226.3734939759036,2.234793037825392,20,5843.0,0.06220839542848074,18,6901.0,0.16060625531078052,19,8656.0,0.16488540648006395,0,0.0,0.8992947156760999,57,21400.0
500.0,60,19081.0,224.48235294117646,2.3221016252434272,23,5950.0,0.051732744193618126,18,6991.0,0.13722240821317885,19,8749.0,0.09067522602615104,0,0.0,0.9162128206653097,60,21690.0
505.0,59,19359.0,227.75294117647059,2.4136531206725222,22,6035.0,0.05689748247379845,18,7081.0,0.09786366393312504,19,8844.0,0.0,0,0.0,0.869050491038252,59,21960.0
510.0,57,19630.0,230.94117647058823,2.4544138225506305,20,6090.0,0.06497810076286008,18,7171.0,0.05172867331921482,19,8941.0,0.10995329364165653,0,0.0,0.8692575593955334,57,22202.0
515.0,59,19914.0,239.9277108433735,2.059627940421666,22,6194.0,0.04460943700679169,18,7261.0,0.09623403637341736,19,9036.0,0.11872340019792063,0,0.0,0.8385975936584401,59,22491.0
520.0,60,20211.0,237.7764705882353,2.059330895311646,23,6309.0,0.039933708410451504,18,7351.0,0.15623162291776527,19,9129.0,0.04428494846796811,0,0.0,0.942210182835576,60,22789.0
525.0,61,20487.0,238.22093023255815,2.3216059729650875,24,6398.0,0.05436391290357716,18,7441.0,0.12736417298455902,19,9224.0,0.0,0,0.0,0.9509575653619596,61,23063.0
530.0,61,20763.0,244.27058823529413,2.284791849540163,24,6479.0,0.048931834057717505,18,7531.0,0.09354055876432091,19,9321.0,0.09300112707611835,0,0.0,0.9673703983855794,61,23331.0
535.0,60,21038.0,259.7283950617284,1.8441624876855758,23,6580.0,0.053334199771810184,18,7621.0,0.05163241405581201,19,9416.0,0.14260397808201114,0,0.0,0.9006797817785251,60,23617.0
540.0,62,21327.0,260.0853658536585,1.9311011891347845,25,6703.0,0.05393244385802637,18,7711.0,0.04889804039145811,19,9509.0,0.10378422230858284,0,0.0,0.920525856049154,62,23923.0
545.0,59,21602.0,263.4390243902439,2.00283106474005,22,6803.0,0.06262802878833654,18,7801.0,0.09762955826470425,19,9604.0,0.0,0,0.0,0.8879263068745441,59,24208.0
550.0,58,21871.0,266.719512195122,2.036346682987744,21,6881.0,0.06262624256215571,18,7891.0,0.09371300100975649,19,9701.0,0.12369921204987423,0,0.0,1.0,58,24473.0
555.0,61,22155.0,263.75,2.1244588846295707,24,6987.0,0.045966395983939076,18,7981.0,0.08507927121795437,19,9796.0,0.1346381004289008,0,0.0,0.9828240185620171,61,24764.0
560.0,60,22447.0,284.1392405063291,1.336188059040731,23,7103.0,0.042926007069713674,18,8071.0,0.08883408350327034,19,9889.0,0.048777783078219714,0,0.0,0.974638366387601,60,25063.0
565.0,61,22725.0,291.34615384615387,1.2579308027844331,24,7199.0,0.047268187040783345,18,8161.0,0.08822791360179812,19,9984.0,0.0,0,0.0,0.9382847179680844,61,25344.0
570.0,60,22997.0,287.4625,1.6810485876076704,23,7275.0,0.05550803086244907,18,8251.0,0.0,19,10081.0,0.12417786042296677,0,0.0,0.8900745852597178,60,25607.0
575.0,59,23271.0,294.56962025316454,1.7148907151432446,22,7364.0,0.06169057038769006,18,8341.0,0.050388070884448355,19,10176.0,0.16334361505507583,0,0.0,0.9287376529397922,59,25881.0
580.0,62,23566.0,290.9382716049383,1.821741051715577,25,7482.0,0.05483956612112771,18,8431.0,0.09990579955927266,19,10269.0,0.04304481531436373,0,0.0,1.0,62,26182.0
585.0,60,23846.0,298.075,1.8049180950503285,23,7579.0,0.053318278862147475,18,8521.0,0.09370008350937667,19,10364.0,0.0,0,0.0,1.0,60,26464.0
590.0,59,24117.0,297.74074074074076,2.0142913660600117,22,7651.0,0.07147118526893423,18,8611.0,0.13695859134369506,19,10461.0,0.08181281602135522,0,0.0,0.8963908662663029,59,26723.0
595.0,59,24394.0,308.7848101265823,1.5612050821523304,22,7761.0,0.04541824241493798,18,8701.0,0.09863162155653167,19,10556.0,0.12183132491337095,0,0.0,0.9629434746179566,59,27018.0
600.0,61,24688.0,308.6,1.4499634143132984,24,7875.0,0.037155628665188026,18,8791.0,0.049203209277885275,19,10649.0,0.03702882330283231,0,0.0,0.9572001352088809,61,27315.0
605.0,61,24967.0,308.2345679012346,1.7162485881923841,24,7967.0,0.04663228424823129,18,8881.0,0.051392771177268294,19,10744.0,0.0,0,0.0,0.9312984453255506,61,27592.0
610.0,58,25234.0,307.7317073170732,1.9725464040442289,21,8030.0,0.061333393493189794,18,8971.0,0.04798023192329758,19,10841.0,0.10785945111474483,0,0.0,0.9527822827044579,58,27842.0
615.0,59,25513.0,318.9125,1.759241587112261,22,8121.0,0.05434151808269499,18,9061.0,0.048339220298573855,19,10936.0,0.1433829315917517,0,0.0,0.955474723292528,59,28118.0
620.0,61,25802.0,322.525,1.5858593286055391,24,8237.0,0.04965545404625932,18,9151.0,0.09594748990631982,19,11029.0,0.10433221719661004,0,0.0,0.9051421056242227,61,28417.0
625.0,59,26078.0,325.975,1.7647099368245562,22,8328.0,0.0654809792069515,18,9241.0,0.09207187637543625,19,11124.0,0.03833393751216936,0,0.0,0.9906680506898597,59,28693.0
630.0,58,26350.0,321.3414634146341,2.1132387230916096,21,8379.0,0.06698151802965413,18,9331.0,0.13964310921178158,19,11221.0,0.10752221222455395,0,0.0,0.9882206748264237,58,28931.0
635.0,57,26629.0,320.8313253012048,2.12491611666981,20,8478.0,0.06324212861356569,18,9421.0,0.04924313437461652,19,11316.0,0.1390452140514129,0,0.0,0.8891760330705012,57,29215.0
640.0,59,26918.0,332.320987654321,1.7356673907366027,22,8583.0,0.05057705277040944,18,9511.0,0.09364663035347309,19,11409.0,0.06836529942328477,0,0.0,0.860572842846163,59,29503.0
645.0,60,27200.0,340.0,1.7050065326807953,23,8677.0,0.059499217016347035,18,9601.0,0.08869582074049247,19,11504.0,0.0,0,0.0,0.9082069321324796,60,29782.0
650.0,58,27473.0,335.0365853658537,1.9942809910014394,21,8754.0,0.06020802477622376,18,9691.0,0.08166690303180889,19,11601.0,0.086616313089622,0,0.0,0.9834798566800333,58,30046.0
655.0,59,27752.0,342.61728395061726,1.7413752283885942,22,8859.0,0.046469611215829,18,9781.0,0.0,19,11696.0,0.12056173552916144,0,0.0,0.8923383766113286,59,30336.0
660.0,61,28047.0,355.0253164556962,1.2772621348550548,24,8974.0,0.04052412798373884,18,9871.0,0.05263157894736842,19,11789.0,0.041213670260758666,0,0.0,0.757333105149431,61,30634.0
665.0,60,28327.0,358.56962025316454,1.409021280491694,23,9073.0,0.051628702481579115,18,9961.0,0.09426900865552831,19,11884.0,0.0,0,0.0,0.7856603100659048,60,30918.0
670.0,58,28592.0,361.9240506329114,1.6771621163954795,21,9147.0,0.059664647694286296,18,10051.0,0.09774750564008042,19,11981.0,0.09124797418511128,0,0.0,1.0,58,31179.0
675.0,58,28873.0,365.4810126582278,2.091074746450741,21,9213.0,0.07098077689607321,18,10141.0,0.051284171918940843,19,12076.0,0.19184746889702994,0,0.0,0.9476766458800132,58,31430.0
680.0,58,29151.0,359.8888888888889,2.821671892559848,21,9295.0,0.11044230034095874,18,10231.0,0.0987880563309168,19,12169.0,0.21748166077014452,0,0.0,0.9605948082597742,58,31695.0
685.0,56,29428.0,363.30864197530866,3.417515997645096,19,9385.0,0.17756567996236772,18,10321.0,0.1388976753466903,19,12264.0,0.18338240324828048,0,0.0,0.9574456737686371,56,31970.0
690.0,56,29708.0,357.9277108433735,3.3617404280580283,19,9476.0,0.1558192196378105,18,10411.0,0.13647762612562386,19,12359.0,0.1790017733529868,0,0.0,0.9070209948444783,56,32246.0
